Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-06-24 00:00:00 GMT,2021-06-23 19:00:00 GMT-05:00,Hashpower mining,0.00014707,32271.38,4.75
2021-06-24 00:00:00 GMT,2021-06-23 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000294,32271.38,-0.09
2021-06-25 00:00:00 GMT,2021-06-24 19:00:00 GMT-05:00,Hashpower mining,0.00015015,33526.87,5.03
2021-06-25 00:00:00 GMT,2021-06-24 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000301,33526.87,-0.10
2021-06-26 00:00:00 GMT,2021-06-25 19:00:00 GMT-05:00,Hashpower mining,0.00014959,34690.58,5.19
2021-06-26 00:00:00 GMT,2021-06-25 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000298,34690.58,-0.10
2021-06-27 00:00:00 GMT,2021-06-26 19:00:00 GMT-05:00,Hashpower mining,0.00014607,31493.03,4.60
2021-06-27 00:00:00 GMT,2021-06-26 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000292,31493.03,-0.09
2021-06-28 00:00:00 GMT,2021-06-27 19:00:00 GMT-05:00,Hashpower mining,0.00007107,31715.72,2.25
2021-06-28 00:00:00 GMT,2021-06-27 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000143,31715.72,-0.05
2021-06-29 00:00:00 GMT,2021-06-28 19:00:00 GMT-05:00,Hashpower mining,0.00010164,34388.00,3.50
2021-06-29 00:00:00 GMT,2021-06-28 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000203,34388.00,-0.07
2021-06-30 00:00:00 GMT,2021-06-29 19:00:00 GMT-05:00,Hashpower mining,0.00013593,34321.29,4.67
2021-06-30 00:00:00 GMT,2021-06-29 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000271,34321.29,-0.09
2021-07-01 00:00:00 GMT,2021-06-30 19:00:00 GMT-05:00,Hashpower mining,0.00016644,36183.24,6.02
2021-07-01 00:00:00 GMT,2021-06-30 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000333,36183.24,-0.12
